ID,DE,KA,GENDER,EXAMPLE,BOOK,LESSON,DATE
74,wo,სად,-,,A1.1,L1,25/09/2025
75,wann,როდის,-,,A1.1,L1,25/09/2025
76,warum,რატომ,-,,A1.1,L1,25/09/2025
77,nur,"მხოლოდ, სულ რაღაც",-,,A1.1,L1,25/09/2025
78,ein bisschen,სულ ცოტათი,-,,A1.1,L1,25/09/2025
79,wie bitte?,"უკაცრავად? გაიმეორეთ, გეთაყვა",-,,A1.1,L1,25/09/2025
80,tut mir leid,ვწუხვარ,-,"Tut mir leid, Frau Beck ist nicht da.",A1.1,L1,25/09/2025
81,Vielen Dank,დიდი მადლობა,-,,A1.1,L1,25/09/2025
82,Polen,პოლონეთი,-,,A1.1,L1,25/09/2025
83,Polnisch,პოლონური,-,,A1.1,L1,25/09/2025
84,Russland,რუსეთი,-,,A1.1,L1,25/09/2025
85,Russisch,რუსული,-,,A1.1,L1,25/09/2025
86,Spanien,ესპანეთი,-,,A1.1,L1,25/09/2025
87,Spanisch,ესპანური,-,,A1.1,L1,25/09/2025
88,Großbritannien,დიდი ბრიტანეთი,-,,A1.1,L1,25/09/2025
89,Englisch,ინგლისური,-,,A1.1,L1,25/09/2025
90,China,ჩინეთი,-,,A1.1,L1,25/09/2025
91,Chinesisch,ჩინური,-,,A1.1,L1,25/09/2025
92,Frankreich,საფრანგეთი,-,,A1.1,L1,25/09/2025
93,Französisch,ფრანგული,-,,A1.1,L1,25/09/2025
94,Italien,იტალია,-,,A1.1,L1,25/09/2025
95,Italienisch,იტალიური,-,,A1.1,L1,25/09/2025
96,Griechenland,საბერძნეთი,-,,A1.1,L1,25/09/2025
97,Griechisch,ბერძნული,-,,A1.1,L1,25/09/2025
98,Abschied,დამშვიდობება,-,,A1.1,L1,25/09/2025
99,Herkunft,წარმოშობა,-,,A1.1,L1,25/09/2025
100,Japan,იაპონია,-,,A1.1,L1,25/09/2025
101,Japanisch,იაპონური,-,,A1.1,L1,25/09/2025
102,Vietnam,ვიეტნამი,-,,A1.1,L1,25/09/2025
103,Vietnamesisch,ვიეტნამური,-,,A1.1,L1,25/09/2025
104,Ungarn,უნგრეთი,-,,A1.1,L1,25/09/2025
105,Ungarisch,უნგრული,-,,A1.1,L1,25/09/2025
106,Komma,მძიმე (სასვ. ნიშანი),-,,A1.1,L1,25/09/2025
107,Punkt,წერთილი (სასვ. ნიშანი),-,,A1.1,L1,25/09/2025
108,der Lehrer(),მასწავლებელი კაცი,M,,A1.1,L2,15/10/2025
109,der Park(s),პარკი,M,,A1.1,L2,15/10/2025
110,der Vater(Väter),მამა,M,,A1.1,L2,15/10/2025
111,der Bruder (Brüder),ძმა,M,,A1.1,L2,15/10/2025
112,der Enkel(),შვილიშვილი ბიჭი,M,,A1.1,L2,15/10/2025
113,der Sohn (Söhne),ვაჟი,M,,A1.1,L2,15/10/2025
114,der Mann (Männer),"კაცი, ქმარი",M,,A1.1,L2,15/10/2025
115,der Opa(s),ბაბუა,M,,A1.1,L2,15/10/2025
116,der Großvater (Großväter),ბაბუა,M,,A1.1,L2,15/10/2025
117,der Ehemann (Ehemänner),მეუღლე კაცი (ფორმალური),M,,A1.1,L2,15/10/2025
118,der Geburtsort(e),დაბადების ადგილი,M,,A1.1,L2,15/10/2025
119,der Wohnonrt(e),საცხოვრებელი ადგილი,M,,A1.1,L2,15/10/2025
120,der Familienstand,ოჯახური მდგომარეობა,M,,A1.1,L2,15/10/2025
121,der Arzt (Ärzte),ექიმი კაცი,M,,A1.1,L2,15/10/2025
122,der Partner (),პარტნიორი კაცი,M,,A1.1,L2,15/10/2025
123,der Freund (),მეგობარი კაცი,M,,A1.1,L2,15/10/2025
124,das Jahr(e),"წელი, წელიწადი",N,"Ich bin 32 Jahre alt.
Wie alt bist du?",A1.1,L2,15/10/2025
125,das Kind(er),"ბავშვი, შვილი",N,,A1.1,L2,15/10/2025
126,das Alter(),ასაკი,N,,A1.1,L2,15/10/2025
127,die Lehrerin(nen),მასწავლებელი ქალი,F,,A1.1,L2,15/10/2025
128,die Pause(n),შესვენება,F,,A1.1,L2,15/10/2025
129,die Familie(n),ოჯახი,F,,A1.1,L2,15/10/2025
130,die Großeltern (pl),დიდი მშობლები,F,,A1.1,L2,15/10/2025
131,die Eltern(pl),მშობლები,F,,A1.1,L2,15/10/2025
132,die Geschwister(pl),და-ძმა,F,,A1.1,L2,15/10/2025
133,die Mutter(Mütter),დედა,F,,A1.1,L2,15/10/2025
134,die Enkelin(nen),შვილიშვილი გოგო,F,,A1.1,L2,15/10/2025
135,die Tochter (Töchter),ასული,F,,A1.1,L2,15/10/2025
136,die Schwester(n),და,F,,A1.1,L2,15/10/2025
137,die Oma(s),ბებია,F,,A1.1,L2,15/10/2025
138,die Großmutter (Großmütter),ბებია,F,,A1.1,L2,15/10/2025
139,die Ehefrau(en),მეუღლე ქალი (ფორმალური),F,,A1.1,L2,15/10/2025
140,die Liste(n),სია,F,,A1.1,L2,15/10/2025
141,die Zahl(en),ციფრი,F,,A1.1,L2,15/10/2025
142,die Null(en),ნული,F,,A1.1,L2,15/10/2025
143,die Nummer(n),ნომერი,F,,A1.1,L2,15/10/2025
144,die Hauptstadt (Hauptstädte),დედაქალაქი,F,,A1.1,L2,15/10/2025
145,die Polizei (sg),პოლიცია,F,,A1.1,L2,15/10/2025
146,die Partnerin(nen),პარტნიორი ქალი,F,,A1.1,L2,15/10/2025
147,die Freundin,მეგობარი ქალი,F,,A1.1,L2,15/10/2025
148,lernen,სწავლა,-,Welche Sprachen lernst du?,A1.1,L2,15/10/2025
149,leben,"ცხოვრება, სახლობა",-,,A1.1,L2,15/10/2025
150,wohnen,"ცხოვრება, დაბინავება",-,Wo wohnst du?,A1.1,L2,15/10/2025
151,liegen,მდებარეობა,-,,A1.1,L2,15/10/2025
152,kennen,"ცოდნა, ნაცნობობა",-,,A1.1,L2,15/10/2025
153,geboren,დაბადება,-,,A1.1,L2,15/10/2025
154,auch,"აგრეთე, -ც",-,,A1.1,L2,15/10/2025
155,super,ძალიან კარგი,-,,A1.1,L2,15/10/2025
156,sehr,ძალიან,-,,A1.1,L2,15/10/2025
157,gut,კარგი,-,,A1.1,L2,15/10/2025
158,falsch,მცდარი,-,,A1.1,L2,15/10/2025
159,richtig,სწორი,-,,A1.1,L2,15/10/2025
160,zusammen,ერთად,-,,A1.1,L2,15/10/2025
161,geschieden,"განქორწინებული, დაშორებული",-,Sind deine Eltern geschieden?,A1.1,L2,15/10/2025
162,verheiratet,დაქორწინებული,-,Bist du verheiratet?,A1.1,L2,15/10/2025
163,ledig,დაუქორწინებელი,-,,A1.1,L2,15/10/2025
164,verwitwet,ქვრივი,-,,A1.1,L2,15/10/2025
165,jetzt,ახლა,-,,A1.1,L2,15/10/2025
166,alt,"ასაკიანი, ძველი",-,,A1.1,L2,15/10/2025
167,jung,ახალგაზრდა,-,,A1.1,L2,15/10/2025
168,also,"ამიტომ, ამგვარად",-,,A1.1,L2,15/10/2025
169,hier,აქ,-,,A1.1,L2,15/10/2025
170,dort,იქ,-,,A1.1,L2,15/10/2025
171,aber,მაგრამ,-,,A1.1,L2,15/10/2025
172,schon,უკვე,-,,A1.1,L2,15/10/2025
173,lange,დიდი ხნით,-,,A1.1,L2,15/10/2025
174,zurzeit,"ახლა, ამჟამად",-,,A1.1,L2,15/10/2025
175,Dänemark,დანია,-,,A1.1,L2,15/10/2025
176,noch,ჯერ კიდევ,-,,A1.1,L2,15/10/2025
177,wenig,ცოტა,-,,A1.1,L2,15/10/2025
178,viel,ბევრი,-,,A1.1,L2,15/10/2025
179,heute,დღეს,-,,A1.1,L2,15/10/2025
180,der Zucker,შაქარი,M,,A1.1,L3,30/10/2025
181,der Pfannkuchen(),"ბლინი, ბლინები",M,,A1.1,L3,30/10/2025
182,der Hunger,შიმშილი,M,"Ich habe Hunger.
Nein, ich habe keinen Hunger.",A1.1,L3,30/10/2025
183,der Euro,ევრო,M,,A1.1,L3,30/10/2025
184,der Apfel (Äpfel),ვაშლი,M,,A1.1,L3,30/10/2025
185,der Kuchen,ნამცხვარი,M,,A1.1,L3,30/10/2025
186,der Kaffee(s),ყავა,M,,A1.1,L3,30/10/2025
187,der Saft(Säfte),წვენი,M,,A1.1,L3,30/10/2025
188,der Joghurt(s),იოგურტი,M,,A1.1,L3,30/10/2025
189,der Fisch(e),თევზი,M,,A1.1,L3,30/10/2025
190,der Käse,ყველი,M,,A1.1,L3,30/10/2025
191,der Tee(s),ჩაი,M,,A1.1,L3,30/10/2025
192,der Reis,ბრინჯი,M,,A1.1,L3,30/10/2025
193,der Wein(e),ღვინო,M,,A1.1,L3,30/10/2025
194,der Preis(e),ფასი,M,,A1.1,L3,30/10/2025
195,der Cent,ცენტი,M,,A1.1,L3,30/10/2025
196,der Liter,ლიტრი,M,,A1.1,L3,30/10/2025
197,der Salat(e),სალათი,M,,A1.1,L3,30/10/2025
198,der Durst,წყურვილი,M,"Ich habe Durst.
Nein, ich habe keinen Durst.",A1.1,L3,30/10/2025
199,der Pfeffer,პილპილი,M,,A1.1,L3,30/10/2025
200,der Tag(e),დღე,M,,A1.1,L3,30/10/2025
201,der Knoblauch,ნიორი,M,,A1.1,L3,30/10/2025
202,der Kürbis,კვახი,M,,A1.1,L3,30/10/2025
203,der Igel,ზღარბი,M,,A1.1,L3,30/10/2025
204,der Hai,ზვიგენი,M,,A1.1,L3,30/10/2025
205,der Becher,"ქილა, როგორც საზომი ერთეული",M,,A1.1,L3,30/10/2025
206,das Ei(er),კვერცხი,N,,A1.1,L3,30/10/2025
207,das Mehl(sg),ფქვილი,N,,A1.1,L3,30/10/2025
208,das Brötchen(),"მრგვალი პური, ფუნთუშა",N,,A1.1,L3,30/10/2025
209,das Würstchen(),პატარა სოსისი,N,,A1.1,L3,30/10/2025
210,das Brot(e),პური,N,,A1.1,L3,30/10/2025
211,das Joghurt(s),იოგურტი,N,,A1.1,L3,30/10/2025
212,das Salz(sg),მარილი,N,,A1.1,L3,30/10/2025
213,das Obst(sg),ხილი,N,,A1.1,L3,30/10/2025
214,das Gemüse(),ბოსტნეული,N,,A1.1,L3,30/10/2025
215,das Mineralwasser(sg),მინერალური წყალი,N,,A1.1,L3,30/10/2025
216,das Wasser(sg),წყალი,N,,A1.1,L3,30/10/2025
217,das Fleisch(sg),ხორცი,N,,A1.1,L3,30/10/2025
218,das Bier(e),ლუდი,N,,A1.1,L3,30/10/2025
219,das Sonderangebot(e),"ფასდაკლება, სპეც. შეთავაზება",N,,A1.1,L3,30/10/2025
220,das Lebensmittel,"პროდუქტები, საკვები",N,,A1.1,L3,30/10/2025
221,das Regal(e),თარო,N,,A1.1,L3,30/10/2025
222,das Hackfleisch(sg),გატარებული ხორცი,N,,A1.1,L3,30/10/2025
223,das Öl(e),ზეთი,N,,A1.1,L3,30/10/2025
224,das Kilo(sg),კილოგრამი,N,,A1.1,L3,30/10/2025
225,das Gramm(sg),გრამი,N,,A1.1,L3,30/10/2025
226,das Pfund,ნახ. კილო,N,,A1.1,L3,30/10/2025
227,das Restaurant,რესტორანი,N,,A1.1,L3,30/10/2025
228,das Steak(s),სტეიკი,N,,A1.1,L3,30/10/2025
229,das Hähnchen(),შემწვარი ქათამი,N,,A1.1,L3,30/10/2025
230,das Cola(s),კოკაკოლა,N,,A1.1,L3,30/10/2025
231,das Essen(),"საკვები, საჭმელი",N,,A1.1,L3,30/10/2025
232,"das Rezept(e), Kochrezept",კერძის რეცეპტი,N,,A1.1,L3,30/10/2025
233,das Glas(Gläser),შუშა,N,,A1.1,L3,30/10/2025
234,das Getränk(e),"სასმელი, დასალევი",N,Was ist dein Lieblingsgetränk?,A1.1,L3,30/10/2025
235,das Café,კაფე,N,,A1.1,L3,30/10/2025
236,das Hahn,ქათამი,N,,A1.1,L3,30/10/2025
237,das Reh,ირემი,N,,A1.1,L3,30/10/2025
238,das Tier(e),ცხოველი,N,,A1.1,L3,30/10/2025
239,die Banane(n),ბანანი,F,,A1.1,L3,30/10/2025
240,die Butter (sg),კარაქი,F,,A1.1,L3,30/10/2025
241,die Milch(sg),რძე,F,,A1.1,L3,30/10/2025
242,die Schokolade(sg),შოკოლადი,F,,A1.1,L3,30/10/2025
243,die Welt(en),მსოფლიო,F,,A1.1,L3,30/10/2025
244,die Orange(n),ფორთოხალი,F,,A1.1,L3,30/10/2025
245,die Birne(n),მსხალი,F,,A1.1,L3,30/10/2025
246,die Tomate(n),პომიდორი,F,,A1.1,L3,30/10/2025
247,die Kartoffel(n),კარტოფილი,F,,A1.1,L3,30/10/2025
248,die Zwiebel(n),ხახვი,F,,A1.1,L3,30/10/2025
249,die Abteilung(en),განყოფილება (მაღაზიაში),F,,A1.1,L3,30/10/2025
250,die Wurst(Würste),სოსისი,F,,A1.1,L3,30/10/2025
251,die Flasche(n),ბოთლი,F,,A1.1,L3,30/10/2025
252,die Dose(n),ქილა,F,,A1.1,L3,30/10/2025
253,die Sahne(sg),ნაღები,F,,A1.1,L3,30/10/2025
254,"die Mensa, Mensen",კაფეტერია,F,,A1.1,L3,30/10/2025
255,die Soße(n),"სოუსი, საწებელი",F,,A1.1,L3,30/10/2025
256,"die Pommes frites, Pommes (pl)","ფრი, კარტოფილის ჩიპსები",F,,A1.1,L3,30/10/2025
257,"die Pizza, Pizzen",პიცა,F,,A1.1,L3,30/10/2025
258,die Cola(s),კოკაკოლა,F,,A1.1,L3,30/10/2025
259,die Portion(en),პორცია,F,,A1.1,L3,30/10/2025
260,die Suppe(n),წვნიანი,F,,A1.1,L3,30/10/2025
261,die Aubergine,ბადრიჯანი,F,,A1.1,L3,30/10/2025
262,die Paprika,ბულგარული წიწაკა,F,,A1.1,L3,30/10/2025
263,die Möhre,სტაფილო,F,,A1.1,L3,30/10/2025
264,"die Nudeln, die Pasta",მაკარონი,F,,A1.1,L3,30/10/2025
265,die Biene,ფუტკარი,F,,A1.1,L3,30/10/2025
266,die Eule,ბუ,F,,A1.1,L3,30/10/2025
267,die Packung,"პაკეტი, შეფუთვა",F,,A1.1,L3,30/10/2025
268,die Lösung,"ამოხსნა, პასუხი, solution",F,,A1.1,L3,30/10/2025
269,brauchen,საჭიროება,-,,A1.1,L3,30/10/2025
270,kaufen,ყიდვა,-,,A1.1,L3,30/10/2025
271,helfen,დახმარება,-,,A1.1,L3,30/10/2025
272,kosten,ღირებულება,-,"Was kostet ein Liter Öl?
Was kosten 100 Gramm Käse?
100 Gramm Käse kosten 2,45 Euro.",A1.1,L3,30/10/2025
273,essen,ჭამა,-,,A1.1,L3,30/10/2025
274,kochen,"მომზადება, მოხარშვა",-,,A1.1,L3,30/10/2025
275,schmecken,"გასინჯვა, გემოს გაგება",-,"Das schmeckt lecker.
Schmeckt's?",A1.1,L3,30/10/2025
276,trinken,დალევა,-,"Trinkst du gerne Kaffee?
Dazu trinke ich Wasser oder ein Glas Bier.",A1.1,L3,30/10/2025
277,studieren,სწავლა,-,,A1.1,L3,30/10/2025
278,reichen,საკმარისობა,-,,A1.1,L3,30/10/2025
279,backen,"ცხობა, გამოცხობა",-,,A1.1,L3,30/10/2025
280,braten,შეწვა,-,,A1.1,L3,30/10/2025
281,möchten,"მირთმევა, გეახლებით",-,,A1.1,L3,30/10/2025
282,dann,"მაშინ (კავშ), მერე",-,,A1.1,L3,30/10/2025
283,wie viel,რამდენი,-,,A1.1,L3,30/10/2025
284,für,-თვის,-,,A1.1,L3,30/10/2025
285,Lieblings-,საყვარელი -,-,,A1.1,L3,30/10/2025
286,typisch,ტიპიური,-,,A1.1,L3,30/10/2025
287,ganz,საკმაოდ,-,Ganz gut.,A1.1,L3,30/10/2025
288,einfach,მარტივი,-,Das Rezept ist typisch deutsch und ganz einfach.,A1.1,L3,30/10/2025
289,groß,"დიდი, ფართო",-,,A1.1,L3,30/10/2025
290,zum Beispiel (z.B.),მაგალითად,-,,A1.1,L3,30/10/2025
291,teuer,ძვირი,-,Ist das teuer oder billig?,A1.1,L3,30/10/2025
292,gern(e),მოწონება ზმნასთან,-,"Was isst du gerne?
Ich esse gerne Käse.
Wir essen gerne Fisch.
Was isst du NICHT gerne?",A1.1,L3,30/10/2025
293,Das schmeckt gut.,გემრიელია,-,,A1.1,L3,30/10/2025
294,Das reicht,საკმარისია,-,,A1.1,L3,30/10/2025
295,lecker,გემრიელი,-,Sind die Birnen lecker oder eklig?,A1.1,L3,30/10/2025
296,eklig,უგემური,-,Sind die Birnen lecker oder eklig?,A1.1,L3,30/10/2025
297,der Flur(e),"კორიდორი, ჰოლი",M,,A1.1,L4,15/11/2025
298,der Balkon(e),აივანი,M,,A1.1,L4,15/11/2025
299,der Monat(e),თვე,M,,A1.1,L4,15/11/2025
300,der Schrank (Schränke),კარადა,M,,A1.1,L4,15/11/2025
301,der Kühlschrank (Kühlschränke),მაცივარი,M,,A1.1,L4,15/11/2025
302,der Tisch(e),მაგიდა,M,,A1.1,L4,15/11/2025
303,der Stuhl(Stühle),სკამი,M,,A1.1,L4,15/11/2025
304,der Fernseher(),ტვ სეტი,M,,A1.1,L4,15/11/2025
305,der Herd(e),ქურა,M,,A1.1,L4,15/11/2025
306,der Teppich(e),ხალიჩა,M,,A1.1,L4,15/11/2025
307,der Sessel(),სავარძელი,M,,A1.1,L4,15/11/2025
308,der Zentimeter(),სანტიმეტრი,M,,A1.1,L4,15/11/2025
309,der Garten (Gärten),ბაღი,M,,A1.1,L4,15/11/2025
310,der Raum (Räume),"სივრცე, არეა",M,,A1.1,L4,15/11/2025
311,der Stock (sg),სართული,M,,A1.1,L4,15/11/2025
312,der Anruf(e),ტელეფონის ზარი,M,,A1.1,L4,15/11/2025
313,der Quadratmeter(),კვ. მეტრი,M,,A1.1,L4,15/11/2025
314,der Stift(e),"საწერი საშუალება, პასტა ან ფანქარი",M,,A1.1,L4,15/11/2025
315,der Schreibtisch(e),საწერი მაგიდა,M,,A1.1,L4,15/11/2025
316,der Meter,მეტრი,M,,A1.1,L4,15/11/2025
317,der Platz(sg),"სივრცე, ადგილი",M,,A1.1,L4,15/11/2025
318,der Computer(),კომპიუტერი,M,,A1.1,L4,15/11/2025
319,der Regenschirm,ქოლგა,M,,A1.1,L4,15/11/2025
320,das Zimmer(),ოთახი,N,Ist dein Zimmer groß und hell?,A1.1,L4,15/11/2025
321,das Bad (Bäder),სააბაზანო,N,,A1.1,L4,15/11/2025
322,das Wohnzimmer(),მისაღები ოთახი,N,,A1.1,L4,15/11/2025
323,das Haus (Häuser),სახლი,N,,A1.1,L4,15/11/2025
324,das Beispiel(e),მაგალითი,N,,A1.1,L4,15/11/2025
325,das Sofa(s),დივანი,N,,A1.1,L4,15/11/2025
326,das Bett(en),საწოლი,N,,A1.1,L4,15/11/2025
327,das Gerät(e),"მოწყობილობა, აპარატი",N,,A1.1,L4,15/11/2025
328,das Elektrogerät(e),ელ. მოწყობილობა,N,,A1.1,L4,15/11/2025
329,das Handy(s),მობილური,N,,A1.1,L4,15/11/2025
330,das Ehepaar(e),"დაქორწინებული წყვილი, ცოლ-ქმარი",N,,A1.1,L4,15/11/2025
331,das Apartment(s),ბინა,N,,A1.1,L4,15/11/2025
332,das TV (sg),ტელევიზორი,N,,A1.1,L4,15/11/2025
333,das Buch (Bücher),წიგნი,N,,A1.1,L4,15/11/2025
334,das Holz (Hölzer),"ხე, როგორც მასალა",N,,A1.1,L4,15/11/2025
335,das Heft(e),რვეული,N,,A1.1,L4,15/11/2025
336,das Tagebuch,დღიური,N,,A1.1,L4,15/11/2025
337,das Gegenteil,"საპირისპირო, ანტონიმი",N,,A1.1,L4,15/11/2025
338,die Wohnung(en),"საცხოვრებელი, ბინა",F,,A1.1,L4,15/11/2025
339,die Lampe(n),სანათი,F,,A1.1,L4,15/11/2025
340,die Küche(n),სამზარეულო,F,,A1.1,L4,15/11/2025
341,die Toilette(n),ტუალეტი,F,,A1.1,L4,15/11/2025
342,die Dusche(n),საშხაპე,F,,A1.1,L4,15/11/2025
343,die Badewanne(n),აბაზანა,F,,A1.1,L4,15/11/2025
344,die Möbel(pl),ავეჯი,F,,A1.1,L4,15/11/2025
345,die Farbe(n),ფერი,F,Welche Farbe hat das Auto?,A1.1,L4,15/11/2025
346,die Arbeit(sg),"სამუშაო, სამსახური",F,,A1.1,L4,15/11/2025
347,die Anzeige(n),"განცხადება, რეკლამა",F,,A1.1,L4,15/11/2025
348,die Garage(n),ავტოფარეხი,F,,A1.1,L4,15/11/2025
349,die Miete(n),ქირა,F,,A1.1,L4,15/11/2025
350,die Hausaufgabe(n),საშინაო დავალება,F,Hast du viele Hausaufgaben?,A1.1,L4,15/11/2025
351,die Bäckerei,საცხობი,F,,A1.1,L4,15/11/2025
352,vermieten,გაქირავება,-,,A1.1,L4,15/11/2025
353,bezahlen,გადახდა,-,,A1.1,L4,15/11/2025
354,lieben,სიყვარული,-,,A1.1,L4,15/11/2025
355,glauben,"აზრის ქონა, ფიქრობს",-,,A1.1,L4,15/11/2025
356,finden,"პოვნა, აზრის ქონა",-,Wie findest du die Küche?,A1.1,L4,15/11/2025
357,schauen,ყურება,-,,A1.1,L4,15/11/2025
358,schlafen,ძილი,-,,A1.1,L4,15/11/2025
359,schwimmen,ცურვა,-,,A1.1,L4,15/11/2025
360,neu,ახალი,-,,A1.1,L4,15/11/2025
361,klein,პატარა,-,,A1.1,L4,15/11/2025
362,hell,ნათელი,-,,A1.1,L4,15/11/2025
363,dunkel,ბნელი,-,,A1.1,L4,15/11/2025
364,billig,იაფი,-,Ist das teuer oder billig?,A1.1,L4,15/11/2025
365,schön,ლამაზი,-,,A1.1,L4,15/11/2025
366,hässlich,"უშნო, მახინჯი",-,,A1.1,L4,15/11/2025
367,schmal,ვიწრო,-,,A1.1,L4,15/11/2025
368,breit,ფართო,-,,A1.1,L4,15/11/2025
369,modern,თანამედროვე,-,,A1.1,L4,15/11/2025
370,schwarz,შავი,-,,A1.1,L4,15/11/2025
371,grau,ნაცრისფერი,-,,A1.1,L4,15/11/2025
372,weiß,თეთრი,-,,A1.1,L4,15/11/2025
373,grün,მწვანე,-,,A1.1,L4,15/11/2025
374,braun,ყავისფერი,-,,A1.1,L4,15/11/2025
375,blau,ლურჯი,-,,A1.1,L4,15/11/2025
376,rot,წითელი,-,,A1.1,L4,15/11/2025
